;;;;
No.;Company Name;Address;Phone;Email/Website
43;Paris Glove of Canada Inc.;2315 Rue Cohen, Montréal, Quebec, H4R 2N7, CANADA;+1 514-345-0135, +1 800 363 2237;www.auclairgloves.com, admin@parisglove.com
44;ProJob Workwear AB;Åkarevägen 18, 455 83 Dingle, SWEDEN;+46 524 176 90;www.projob.se, info@projob.se
45;Sagaform AB;Segloravägen 19, 504 64 Borås, SWEDEN;+46 33-23 38 00;www.sagaform.com, info@sagaform.com
46;Seger Europe AB;Jordgubbsvägen 24, 523 61 Gällstad, SWEDEN;+46 321-260 50;www.seger.se, info@seger.se
47;Texet Benelux NV;Nieuwlandlaan 97, I.Z. Aarschot - B 426, 3200 Aarschot, BELGIUM;+32 16 57 11 57;www.texet.be, info@texet.be
48;Texet Denmark A/S;Kometvej 8C, 8700 Horsens, DENMARK;+45 86 57 28 00;www.texet.dk, ordre@texet.dk
49;Texet France SAS;103 Quai du Président, Roosevelt, 92130 Isssy-Les-Moulineaux, FRANCE;+33 141 330 314;www.texet.fr, info@texet.fr
50;Texet GmbH;Geigelsteinstrasse 10, 83080 Oberaudorf, GERMANY;+49 8033 979 0;www.texeteurope.com, service@texeteurope.com
51;Texet Poland Sp. z o.o.;ul. Krzemowa 1, Zlotniki, 62-002 Suchy Las, POLAND;+48 61 86 85 671;www.texet.pl, texet@texet.pl
52;Tg-H Benelux NV;Schoondonkweg 6, 2830 Willebroek, BELGIUM;+32 3 202 69 20;www.tg-h.be, info@tg-h.be
53;Toppoint B.V.;F. Hazemeijerstraat 400 (B04), 7555 RJ Hengelo, THE NETHERLANDS;+31 74 2077 900;www.toppoint.com, sales@toppoint.nl
54;Toppoint Polska Sp. z o.o.;ul. Przylep-Zakldowa 23, 66-015 Zielona Góra, POLAND;+48 506 403 027;www.toppoint.com, info@toppoint.com
55;Tournament Solutions LLC;18 Henry Graf Road, Newburyport, MA 01950, USA;+1 800 896 1230;www.tournamentsolutions.com
56;United Brands Textiles Ireland Ltd.;Keogh Ryan Tierney, 4 The Crescent, Limerick V94 4KF7, IRELAND;;www.united-brands.co.uk, info@united-brands.co.uk
57;United Brands of Scandinavia Ltd.;Unit 1, Hirwaun Industrial Estate, Hirwaun, Aberdare CF44 9UP, South Wales, GREAT BRITAIN;+44 1685 812 111;www.united-brands.co.uk, info@united-brands.co.uk
58;X-tend B.V.;Nipkowstraat 1, 8013 RJ Zwolle, P.O. Box 40041, 8004 DA Zwolle, THE NETHERLANDS;+31 38 850 91 00;www.craftsportswear.com, sander.fixe@craftsportswear.com
